Date,Team1,Team2,City
1/13/2017,Australia,Pakistan,Brisbane
1/15/2017,Australia,Pakistan,
1/19/2017,Australia,Pakistan,Perth
1/22/2017,Australia,Pakistan,
1/26/2017,Australia,Pakistan,
12/4/2016,Australia,New Zealand,
12/6/2016,Australia,New Zealand,Canberra
12/9/2016,Australia,New Zealand,
7/4/2016,Scotland,Afghanistan,Edinburgh
7/6/2016,Scotland,Afghanistan,Edinburgh
10/21/2016,Papua New Guinea,Namibia,Port Moresby
10/23/2016,Papua New Guinea,Namibia,Port Moresby
8/13/2016,Netherlands,Nepal,Amstelveen
11/20/2016,Kenya,Hong Kong,Nairobi
9/8/2016,Scotland,Hong Kong,Edinburgh
9/10/2016,Scotland,Hong Kong,Edinburgh
6/11/2016,Zimbabwe,India,
6/13/2016,Zimbabwe,India,
6/15/2016,Zimbabwe,India,
5/28/2016,Papua New Guinea,Kenya,Port Moresby
5/30/2016,Papua New Guinea,Kenya,Port Moresby
12/26/2016,New Zealand,Bangladesh,Christchurch
12/29/2016,New Zealand,Bangladesh,Nelson
12/31/2016,New Zealand,Bangladesh,Nelson
1/30/2017,New Zealand,Australia,Auckland
2/19/2017,New Zealand,South Africa,Hamilton
2/22/2017,New Zealand,South Africa,Christchurch
2/25/2017,New Zealand,South Africa,Wellington
3/1/2017,New Zealand,South Africa,Hamilton
3/4/2017,New Zealand,South Africa,Auckland
6/1/2017,England,Bangladesh,London
6/2/2017,Australia,New Zealand,Birmingham
6/3/2017,South Africa,Sri Lanka,London
6/4/2017,India,Pakistan,Birmingham
6/5/2017,Australia,Bangladesh,London
6/6/2017,England,New Zealand,Cardiff
6/7/2017,Pakistan,South Africa,Birmingham
6/8/2017,India,Sri Lanka,London
6/9/2017,Bangladesh,New Zealand,Cardiff
6/10/2017,England,Australia,Birmingham
6/11/2017,India,South Africa,London
6/12/2017,Pakistan,Sri Lanka,Cardiff
6/14/2017,England,Pakistan,Cardiff
6/18/2017,India,Pakistan,London
12/21/2016,Adelaide Strikers,Brisbane Heat,
12/23/2016,Perth Scorchers,Adelaide Strikers,Perth
12/28/2016,Sydney Thunder,Brisbane Heat,
12/30/2016,Brisbane Heat,Hobart Hurricanes,Brisbane
1/4/2017,Sydney Thunder,Melbourne Stars,
1/14/2017,Sydney Sixers,Sydney Thunder,
1/17/2017,Melbourne Stars,Brisbane Heat,
1/20/2017,Brisbane Heat,Melbourne Renegades,Brisbane
1/28/2017,Perth Scorchers,Sydney Sixers,Perth
11/4/2016,Hong Kong,Papua New Guinea,Hong Kong
11/6/2016,Hong Kong,Papua New Guinea,Hong Kong
11/8/2016,Hong Kong,Papua New Guinea,Hong Kong
3/3/2017,West Indies,England,Antigua
3/5/2017,West Indies,England,Antigua
3/9/2017,West Indies,England,Barbados
5/5/2017,England,Ireland,Bristol
5/7/2017,England,Ireland,London
10/7/2016,Bangladesh,England,Mirpur
10/9/2016,Bangladesh,England,Mirpur
10/12/2016,Bangladesh,England,Chittagong
10/16/2016,India,New Zealand,Dharmasala
10/20/2016,India,New Zealand,Delhi
10/23/2016,India,New Zealand,Chandigarh
10/26/2016,India,New Zealand,Ranchi
10/29/2016,India,New Zealand,Visakhapatnam
5/24/2017,England,South Africa,Leeds
5/27/2017,England,South Africa,Southampton
5/29/2017,England,South Africa,London
5/12/2017,Ireland,Bangladesh,Dublin
5/19/2017,Ireland,Bangladesh,Dublin
5/24/2017,Bangladesh,New Zealand,Dublin
7/15/2016,Netherlands,Scotland,Southend-on-Sea
1/15/2017,India,England,Pune
1/19/2017,India,England,Cuttack
1/22/2017,India,England,Kolkata
3/15/2017,Afghanistan,Ireland,Greater Noida
3/17/2017,Afghanistan,Ireland,Greater Noida
3/19/2017,Afghanistan,Ireland,Greater Noida
3/22/2017,Afghanistan,Ireland,Greater Noida
3/24/2017,Afghanistan,Ireland,Greater Noida
1/18/2017,Bangladesh,South Africa,Cox's Bazar
1/20/2017,Bangladesh,South Africa,Cox's Bazar
11/18/2016,Australia,South Africa,Canberra
11/20/2016,Australia,South Africa,Canberra
11/29/2016,Australia,South Africa,Coffs Harbour
9/18/2016,Sri Lanka,Australia,
9/25/2016,Sri Lanka,Australia,Colombo
8/26/2016,Malaysia,Singapore,
8/28/2016,Malaysia,Singapore,
9/30/2016,Pakistan,West Indies,
10/2/2016,Pakistan,West Indies,
10/5/2016,Pakistan,West Indies,Abu Dhabi
11/11/2016,New Zealand,Pakistan,Lincoln
11/13/2016,New Zealand,Pakistan,Lincoln
11/17/2016,New Zealand,Pakistan,Nelson
11/21/2016,New Zealand,Pakistan,Nelson
2/26/2017,New Zealand,Australia,Auckland
3/2/2017,New Zealand,Australia,Mount Maunganui
3/5/2017,New Zealand,Australia,Mount Maunganui
9/25/2016,Bangladesh,Afghanistan,Mirpur
9/28/2016,Bangladesh,Afghanistan,Mirpur
10/1/2016,Bangladesh,Afghanistan,Mirpur
11/15/2016,Sri Lanka,England,Colombo
11/14/2016,Zimbabwe,Sri Lanka,
11/16/2016,Sri Lanka,West Indies,
11/19/2016,Zimbabwe,West Indies,Bulawayo
11/21/2016,Zimbabwe,Sri Lanka,Bulawayo
11/23/2016,Sri Lanka,West Indies,Bulawayo
11/25/2016,Zimbabwe,West Indies,Bulawayo
11/27/2016,Zimbabwe,Sri Lanka,Bulawayo
10/29/2016,Denmark,Italy,Los Angeles
10/30/2016,Bermuda,Oman,Los Angeles
10/30/2016,Denmark,Jersey,Los Angeles
10/30/2016,United States of America,Italy,Los Angeles
11/1/2016,Italy,Jersey,Los Angeles
11/1/2016,United States of America,Oman,Los Angeles
11/2/2016,United States of America,Denmark,Los Angeles
11/2/2016,Bermuda,Jersey,Los Angeles
11/2/2016,Italy,Oman,Los Angeles
11/4/2016,Denmark,Oman,Los Angeles
11/4/2016,Bermuda,Italy,Los Angeles
11/4/2016,United States of America,Jersey,Los Angeles
11/5/2016,Bermuda,Denmark,Los Angeles
11/5/2016,United States of America,Oman,Los Angeles
11/9/2016,Sri Lanka,England,Colombo
11/3/2016,Japan,China,
2/16/2017,Hong Kong,Netherlands,Hong Kong
2/18/2017,Hong Kong,Netherlands,Hong Kong
4/2/2017,United Arab Emirates,Papua New Guinea,Abu Dhabi
6/13/2017,Scotland,Namibia,Edinburgh
2/7/2017,Sri Lanka,India,Colombo
2/7/2017,Ireland,Zimbabwe,Colombo
2/7/2017,Pakistan,South Africa,Colombo
2/7/2017,Bangladesh,Papua New Guinea,
2/8/2017,Sri Lanka,Ireland,Colombo
2/8/2017,India,Thailand,
2/8/2017,Scotland,South Africa,Colombo
2/8/2017,Bangladesh,Pakistan,Colombo
2/10/2017,Bangladesh,Scotland,
2/10/2017,India,Ireland,Colombo
2/10/2017,Thailand,Zimbabwe,Colombo
2/11/2017,Bangladesh,South Africa,Colombo
2/11/2017,Sri Lanka,Zimbabwe,Colombo
2/11/2017,Ireland,Thailand,
2/13/2017,India,Zimbabwe,Colombo
2/13/2017,Sri Lanka,Thailand,Colombo
2/13/2017,Papua New Guinea,South Africa,Colombo
2/13/2017,Pakistan,Scotland,
2/15/2017,India,South Africa,Colombo
2/15/2017,Sri Lanka,Pakistan,Colombo
2/15/2017,Bangladesh,Ireland,
2/17/2017,Sri Lanka,South Africa,Colombo
2/17/2017,Bangladesh,India,Colombo
2/17/2017,Ireland,Pakistan,
2/19/2017,India,Pakistan,Colombo
2/19/2017,Ireland,South Africa,
2/21/2017,India,South Africa,Colombo
4/7/2017,West Indies,Pakistan,Guyana
4/9/2017,West Indies,Pakistan,Guyana
4/11/2017,West Indies,Pakistan,Guyana
1/22/2017,Hong Kong,Scotland,Abu Dhabi
1/24/2017,United Arab Emirates,Scotland,
1/26/2017,United Arab Emirates,Hong Kong,
2/16/2017,Zimbabwe,Afghanistan,
2/19/2017,Zimbabwe,Afghanistan,
2/21/2017,Zimbabwe,Afghanistan,
2/24/2017,Zimbabwe,Afghanistan,
2/26/2017,Zimbabwe,Afghanistan,
3/2/2017,United Arab Emirates,Ireland,Dubai
3/4/2017,United Arab Emirates,Ireland,Dubai
4/6/2017,Rising Pune Supergiant,Mumbai Indians,Pune
4/9/2017,Mumbai Indians,Kolkata Knight Riders,Mumbai
4/13/2017,Kolkata Knight Riders,Kings XI Punjab,Kolkata
4/20/2017,Kings XI Punjab,Mumbai Indians,Indore
4/26/2017,Rising Pune Supergiant,Kolkata Knight Riders,Pune
5/2/2017,Delhi Daredevils,Sunrisers Hyderabad,Delhi
5/4/2017,Delhi Daredevils,Gujarat Lions,Delhi
5/5/2017,Royal Challengers Bangalore,Kings XI Punjab,Bangalore
5/6/2017,Delhi Daredevils,Mumbai Indians,Delhi
5/8/2017,Sunrisers Hyderabad,Mumbai Indians,Hyderabad
5/11/2017,Mumbai Indians,Kings XI Punjab,Mumbai
5/13/2017,Kolkata Knight Riders,Mumbai Indians,Kolkata
5/14/2017,Delhi Daredevils,Royal Challengers Bangalore,Delhi
5/21/2017,Mumbai Indians,Rising Pune Supergiant,Hyderabad
3/25/2017,Sri Lanka,Bangladesh,
3/28/2017,Sri Lanka,Bangladesh,
4/1/2017,Sri Lanka,Bangladesh,Colombo
6/24/2017,New Zealand,Sri Lanka,Bristol
6/24/2017,England,India,Derby
6/25/2017,Pakistan,South Africa,Leicester
6/26/2017,Australia,West Indies,Taunton
6/29/2017,India,West Indies,Taunton
6/29/2017,Australia,Sri Lanka,Bristol
7/2/2017,England,Sri Lanka,Taunton
7/2/2017,Australia,New Zealand,Bristol
7/2/2017,India,Pakistan,Derby
7/2/2017,South Africa,West Indies,Leicester
7/5/2017,England,South Africa,Bristol
7/5/2017,India,Sri Lanka,Derby
7/5/2017,Australia,Pakistan,Leicester
7/6/2017,New Zealand,West Indies,Taunton
7/8/2017,New Zealand,Pakistan,Taunton
7/8/2017,India,South Africa,Leicester
7/9/2017,Sri Lanka,West Indies,Derby
7/11/2017,Pakistan,West Indies,Leicester
7/12/2017,South Africa,Sri Lanka,Taunton
7/12/2017,Australia,India,Bristol
7/12/2017,England,New Zealand,Derby
7/15/2017,Australia,South Africa,Taunton
7/15/2017,England,West Indies,Bristol
7/15/2017,India,New Zealand,Derby
7/15/2017,Pakistan,Sri Lanka,Leicester
4/7/2017,Nigeria,Tanzania,Benoni
4/7/2017,Ghana,Sierra Leone,Benoni
4/7/2017,Botswana,Zambia,Benoni
4/8/2017,Sierra Leone,Zambia,Benoni
4/8/2017,Ghana,Nigeria,Benoni
4/8/2017,Botswana,Tanzania,Benoni
4/10/2017,Botswana,Ghana,Benoni
4/10/2017,Tanzania,Zambia,Benoni
4/10/2017,Nigeria,Sierra Leone,Benoni
4/11/2017,Nigeria,Zambia,Benoni
4/11/2017,Botswana,Sierra Leone,Benoni
4/11/2017,Ghana,Tanzania,Benoni
4/13/2017,Sierra Leone,Tanzania,Benoni
4/13/2017,Ghana,Zambia,Benoni
4/4/2017,United Arab Emirates,Papua New Guinea,Abu Dhabi
6/15/2017,Scotland,Zimbabwe,Edinburgh
6/17/2017,Scotland,Zimbabwe,Edinburgh
4/22/2017,Qatar,Kuwait,Chiang Mai
5/1/2017,Bahrain,Bhutan,
5/7/2017,South Africa,Zimbabwe,Potchefstroom
5/7/2017,India,Ireland,Potchefstroom
5/9/2017,South Africa,India,Potchefstroom
5/9/2017,Ireland,Zimbabwe,Potchefstroom
5/11/2017,South Africa,Ireland,Potchefstroom
5/11/2017,India,Zimbabwe,Potchefstroom
5/15/2017,South Africa,Zimbabwe,Potchefstroom
5/17/2017,South Africa,India,Potchefstroom
5/17/2017,Ireland,Zimbabwe,Potchefstroom
5/19/2017,India,Zimbabwe,Potchefstroom
5/21/2017,South Africa,India,Potchefstroom
6/9/2017,West Indies,Afghanistan,St Lucia
6/11/2017,West Indies,Afghanistan,St Lucia
6/23/2017,West Indies,India,Trinidad
6/25/2017,West Indies,India,Trinidad
6/30/2017,West Indies,India,Antigua
7/2/2017,West Indies,India,Antigua
7/6/2017,West Indies,India,Jamaica
6/30/2017,Sri Lanka,Zimbabwe,
7/2/2017,Sri Lanka,Zimbabwe,
7/6/2017,Sri Lanka,Zimbabwe,Hambantota
7/8/2017,Sri Lanka,Zimbabwe,Hambantota
7/10/2017,Sri Lanka,Zimbabwe,Hambantota
12/22/2017,Adelaide Strikers,Sydney Thunder,Adelaide
1/1/2018,Sydney Thunder,Hobart Hurricanes,Sydney
1/7/2018,Sydney Thunder,Adelaide Strikers,Sydney
1/8/2018,Perth Scorchers,Melbourne Renegades,Perth
1/12/2018,Melbourne Renegades,Melbourne Stars,Melbourne
1/22/2018,Melbourne Renegades,Adelaide Strikers,Melbourne
1/24/2018,Sydney Thunder,Melbourne Renegades,Canberra
1/27/2018,Melbourne Stars,Hobart Hurricanes,Melbourne
4/12/2018,Sunrisers Hyderabad,Mumbai Indians,Hyderabad
4/15/2018,Royal Challengers Bangalore,Rajasthan Royals,Bengaluru
4/17/2018,Mumbai Indians,Royal Challengers Bangalore,Mumbai
4/18/2018,Rajasthan Royals,Kolkata Knight Riders,Jaipur
4/20/2018,Chennai Super Kings,Rajasthan Royals,Pune
4/21/2018,Kolkata Knight Riders,Kings XI Punjab,Kolkata
4/22/2018,Rajasthan Royals,Mumbai Indians,Jaipur
4/23/2018,Delhi Daredevils,Kings XI Punjab,Delhi
4/25/2018,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru
4/27/2018,Delhi Daredevils,Kolkata Knight Riders,Delhi
5/1/2018,Royal Challengers Bangalore,Mumbai Indians,Bengaluru
5/4/2018,Kings XI Punjab,Mumbai Indians,Indore
5/6/2018,Mumbai Indians,Kolkata Knight Riders,Mumbai
5/16/2018,Mumbai Indians,Kings XI Punjab,Mumbai
5/20/2018,Delhi Daredevils,Mumbai Indians,Delhi
5/22/2018,Sunrisers Hyderabad,Chennai Super Kings,Mumbai
5/23/2018,Kolkata Knight Riders,Rajasthan Royals,Kolkata
5/25/2018,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata
5/27/2018,Chennai Super Kings,Sunrisers Hyderabad,Mumbai
5/30/2019,England,South Africa,London
5/31/2019,Pakistan,West Indies,Nottingham
6/1/2019,New Zealand,Sri Lanka,Cardiff
6/1/2019,Afghanistan,Australia,Bristol
6/2/2019,Bangladesh,South Africa,London
6/3/2019,England,Pakistan,Nottingham
6/4/2019,Afghanistan,Sri Lanka,Cardiff
6/5/2019,India,South Africa,Southampton
6/5/2019,Bangladesh,New Zealand,London
6/6/2019,Australia,West Indies,Nottingham
6/8/2019,England,Bangladesh,Cardiff
6/8/2019,Afghanistan,New Zealand,Taunton
6/12/2019,Australia,Pakistan,Taunton
6/14/2019,England,West Indies,Southampton
6/15/2019,Australia,Sri Lanka,London
6/15/2019,Afghanistan,South Africa,Cardiff
6/19/2019,New Zealand,South Africa,Birmingham
6/20/2019,Australia,Bangladesh,Nottingham
6/21/2019,England,Sri Lanka,Leeds
6/22/2019,Afghanistan,India,Southampton
6/22/2019,New Zealand,West Indies,Manchester
6/23/2019,Pakistan,South Africa,London
6/24/2019,Afghanistan,Bangladesh,Southampton
6/25/2019,England,Australia,London
6/27/2019,India,West Indies,Manchester
6/28/2019,South Africa,Sri Lanka,Chester-le-Street
6/29/2019,Afghanistan,Pakistan,Leeds
6/29/2019,Australia,New Zealand,London
6/30/2019,England,India,Birmingham
7/1/2019,Sri Lanka,West Indies,Chester-le-Street
7/3/2019,England,New Zealand,Chester-le-Street
7/4/2019,Afghanistan,West Indies,Leeds
7/5/2019,Bangladesh,Pakistan,London
7/6/2019,Australia,South Africa,Manchester
7/11/2019,Australia,England,Birmingham
12/24/2018,Sydney Thunder,Sydney Sixers,Sydney
1/5/2019,Perth Scorchers,Brisbane Heat,Perth
1/11/2019,Adelaide Strikers,Melbourne Stars,Adelaide
1/13/2019,Melbourne Renegades,Brisbane Heat,Geelong
1/13/2019,Perth Scorchers,Sydney Sixers,Perth
1/20/2019,Sydney Sixers,Brisbane Heat,Sydney
1/23/2019,Sydney Sixers,Hobart Hurricanes,Sydney
1/30/2019,Melbourne Renegades,Sydney Thunder,Melbourne
2/1/2019,Brisbane Heat,Perth Scorchers,Brisbane
2/3/2019,Adelaide Strikers,Brisbane Heat,Adelaide
2/7/2019,Hobart Hurricanes,Melbourne Renegades,Hobart
2/8/2019,Brisbane Heat,Melbourne Stars,Brisbane
2/10/2019,Melbourne Stars,Sydney Sixers,Melbourne
2/14/2019,Hobart Hurricanes,Melbourne Stars,Hobart
5/3/2019,Ireland,England,Dublin
6/6/2019,England,West Indies,Leicester
6/9/2019,England,West Indies,Worcester
6/13/2019,England,West Indies,Chelmsford
7/2/2019,England,Australia,Leicester
7/4/2019,England,Australia,Leicester
7/1/2019,Ireland,Zimbabwe,Bready
7/4/2019,Ireland,Zimbabwe,Belfast
7/7/2019,Ireland,Zimbabwe,Belfast
3/25/2019,Rajasthan Royals,Kings XI Punjab,Jaipur
3/28/2019,Royal Challengers Bangalore,Mumbai Indians,Bengaluru
3/29/2019,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad
3/31/2019,Chennai Super Kings,Rajasthan Royals,Chennai
4/3/2019,Mumbai Indians,Chennai Super Kings,Mumbai
4/5/2019,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru
4/6/2019,Sunrisers Hyderabad,Mumbai Indians,Hyderabad
4/13/2019,Mumbai Indians,Rajasthan Royals,Mumbai
4/14/2019,Kolkata Knight Riders,Chennai Super Kings,Kolkata
4/14/2019,Sunrisers Hyderabad,Delhi Capitals,Hyderabad
4/18/2019,Delhi Capitals,Mumbai Indians,Delhi
4/22/2019,Rajasthan Royals,Delhi Capitals,Jaipur
4/27/2019,Rajasthan Royals,Sunrisers Hyderabad,Jaipur
4/29/2019,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad
5/1/2019,Chennai Super Kings,Delhi Capitals,Chennai
5/4/2019,Delhi Capitals,Rajasthan Royals,Delhi
5/4/2019,Royal Challengers Bangalore,Sunrisers Hyderabad,Bengaluru
5/7/2019,Mumbai Indians,Chennai Super Kings,Chennai
5/8/2019,Delhi Capitals,Sunrisers Hyderabad,Visakhapatnam
5/29/2019,Ireland,West Indies,Dublin
8/30/2006,England,Pakistan,Cardiff
9/2/2006,England,Pakistan,London
9/5/2006,England,Pakistan,Southampton
9/8/2006,England,Pakistan,Nottingham
9/10/2006,England,Pakistan,Birmingham
6/24/2006,England,Sri Lanka,Chester-le-Street
7/1/2006,England,Sri Lanka,Leeds
1/9/2006,Australia,South Africa,Brisbane
1/15/2006,Australia,South Africa,Brisbane
1/20/2006,Australia,South Africa,Melbourne
2/3/2006,Australia,South Africa,Melbourne
2/5/2006,Australia,South Africa,
1/22/2006,Australia,Sri Lanka,
1/26/2006,Australia,Sri Lanka,
1/29/2006,Australia,Sri Lanka,Perth
1/17/2006,South Africa,Sri Lanka,Brisbane
1/24/2006,South Africa,Sri Lanka,
1/31/2006,South Africa,Sri Lanka,Perth
2/7/2006,South Africa,Sri Lanka,Hobart
1/3/2006,New Zealand,Sri Lanka,Christchurch
1/6/2006,New Zealand,Sri Lanka,Wellington
2/6/2006,Pakistan,India,Peshawar
2/11/2006,Pakistan,India,
2/12/2006,Australia,Sri Lanka,
2/13/2006,Pakistan,India,Lahore
2/14/2006,Australia,Sri Lanka,Brisbane
2/16/2006,Pakistan,India,
2/16/2006,New Zealand,West Indies,Auckland
2/18/2006,New Zealand,West Indies,Wellington
2/19/2006,Pakistan,India,Karachi
2/20/2006,Bangladesh,Sri Lanka,Bogra
2/22/2006,Bangladesh,Sri Lanka,Bogra
2/25/2006,Bangladesh,Sri Lanka,
4/23/2006,Bangladesh,Australia,
4/26/2006,Bangladesh,Australia,Fatullah
4/28/2006,Bangladesh,Australia,Fatullah
2/22/2006,New Zealand,West Indies,
2/25/2006,New Zealand,West Indies,Christchurch
3/1/2006,New Zealand,West Indies,Napier
3/4/2006,New Zealand,West Indies,Auckland
3/28/2006,India,England,Delhi
3/31/2006,India,England,Faridabad
4/3/2006,India,England,Margao
4/12/2006,India,England,Jamshedpur
4/15/2006,India,England,Indore
2/26/2006,South Africa,Australia,Centurion
3/3/2006,South Africa,Australia,Cape Town
3/5/2006,South Africa,Australia,Port Elizabeth
3/10/2006,South Africa,Australia,Durban
3/12/2006,South Africa,Australia,Johannesburg
3/17/2006,Sri Lanka,Pakistan,Colombo
3/19/2006,Sri Lanka,Pakistan,Colombo
3/22/2006,Sri Lanka,Pakistan,Colombo
4/29/2006,West Indies,Zimbabwe,Antigua
4/30/2006,West Indies,Zimbabwe,Antigua
5/10/2006,West Indies,Zimbabwe,St Lucia
5/13/2006,West Indies,Zimbabwe,Trinidad
5/14/2006,West Indies,Zimbabwe,Trinidad
5/20/2006,West Indies,India,Jamaica
5/23/2006,West Indies,India,St Kitts
5/26/2006,West Indies,India,Trinidad
5/28/2006,West Indies,India,Trinidad
4/18/2006,India,Pakistan,Abu Dhabi
4/19/2006,India,Pakistan,Abu Dhabi
3/13/2007,West Indies,Pakistan,Jamaica
3/14/2007,Australia,Scotland,St Kitts
3/15/2007,Bermuda,Sri Lanka,Trinidad
3/15/2007,Ireland,Zimbabwe,Jamaica
3/16/2007,Netherlands,South Africa,St Kitts
3/16/2007,England,New Zealand,St Lucia
3/17/2007,Bangladesh,India,Trinidad
3/17/2007,Ireland,Pakistan,Jamaica
3/18/2007,Australia,Netherlands,St Kitts
3/18/2007,Canada,England,St Lucia
3/19/2007,Bermuda,India,Trinidad
3/19/2007,West Indies,Zimbabwe,Jamaica
3/20/2007,Scotland,South Africa,St Kitts
3/20/2007,Kenya,New Zealand,St Lucia
3/21/2007,Bangladesh,Sri Lanka,Trinidad
3/21/2007,Pakistan,Zimbabwe,Jamaica
3/22/2007,Netherlands,Scotland,St Kitts
3/22/2007,Canada,New Zealand,St Lucia
3/23/2007,India,Sri Lanka,Trinidad
3/23/2007,West Indies,Ireland,Jamaica
3/24/2007,Australia,South Africa,St Kitts
3/24/2007,England,Kenya,St Lucia
3/25/2007,Bangladesh,Bermuda,Trinidad
3/28/2007,South Africa,Sri Lanka,Guyana
3/29/2007,West Indies,New Zealand,Antigua
3/30/2007,England,Ireland,Guyana
3/31/2007,Australia,Bangladesh,Antigua
4/1/2007,West Indies,Sri Lanka,Guyana
4/2/2007,Bangladesh,New Zealand,Antigua
4/3/2007,Ireland,South Africa,Guyana
4/7/2007,Bangladesh,South Africa,Guyana
4/8/2007,Australia,England,Antigua
4/9/2007,Ireland,New Zealand,Guyana
4/10/2007,West Indies,South Africa,Grenada
4/11/2007,Bangladesh,England,Barbados
4/13/2007,Australia,Ireland,Barbados
4/14/2007,New Zealand,South Africa,Grenada
4/15/2007,Bangladesh,Ireland,Barbados
4/16/2007,Australia,Sri Lanka,Grenada
4/17/2007,England,South Africa,Barbados
4/18/2007,Ireland,Sri Lanka,Grenada
4/19/2007,West Indies,Bangladesh,Barbados
4/20/2007,Australia,New Zealand,Grenada
4/21/2007,West Indies,England,Barbados
4/25/2007,Australia,South Africa,St Lucia
